Date,Gold Price
2010-01-04,408000.0
2010-01-05,410000.0
2010-01-06,410000.0
2010-01-07,412000.0
2010-01-08,410000.0
2010-01-09,410000.0
2010-01-10,410000.0
2010-01-11,413000.0
2010-01-12,410000.0
2010-01-13,409000.0
2010-01-14,410000.0
2010-01-15,408000.0
2010-01-16,408000.0
2010-01-17,408000.0
2010-01-18,406000.0
2010-01-19,410000.0
2010-01-20,410000.0
2010-01-21,408000.0
2010-01-22,404000.0
2010-01-23,404000.0
2010-01-24,404000.0
2010-01-25,404000.0
2010-01-26,404000.0
2010-01-27,404000.0
2010-01-28,403000.0
2010-01-29,403000.0
2010-01-30,403000.0
2010-01-31,403000.0
2010-02-01,403000.0
2010-02-02,405000.0
2010-02-03,406000.0
2010-02-04,404000.0
2010-02-05,401000.0
2010-02-06,401000.0
2010-02-07,401000.0
2010-02-08,400000.0
2010-02-09,401000.0
2010-02-10,402000.0
2010-02-11,401000.0
2010-02-12,403000.0
2010-02-13,403000.0
2010-02-14,403000.0
2010-02-15,402000.0
2010-02-16,403000.0
2010-02-17,406000.0
2010-02-18,401000.0
2010-02-19,401000.0
2010-02-20,401000.0
2010-02-21,401000.0
2010-02-22,408000.0
2010-02-23,402000.0
2010-02-24,401000.0
2010-02-25,400000.0
2010-02-26,400000.0
2010-02-27,400000.0
2010-02-28,400000.0
2010-03-01,404000.0
2010-03-02,401000.0
2010-03-03,405000.0
2010-03-04,406000.0
2010-03-05,403000.0
2010-03-06,403000.0
2010-03-07,403000.0
2010-03-08,404000.0
2010-03-09,400000.0
2010-03-10,399000.0
2010-03-11,398000.0
2010-03-12,398000.0
2010-03-13,398000.0
2010-03-14,398000.0
2010-03-15,397000.0
2010-03-16,397000.0
2010-03-17,400000.0
2010-03-18,398000.0
2010-03-19,398000.0
2010-03-20,398000.0
2010-03-21,398000.0
2010-03-22,396000.0
2010-03-23,395000.0
2010-03-24,395000.0
2010-03-25,394000.0
2010-03-26,395000.0
2010-03-27,395000.0
2010-03-28,395000.0
2010-03-29,396000.0
2010-03-30,396000.0
2010-03-31,395000.0
2010-04-01,397000.0
2010-04-02,397000.0
2010-04-03,397000.0
2010-04-04,397000.0
2010-04-05,399000.0
2010-04-06,399000.0
2010-04-07,399000.0
2010-04-08,401000.0
2010-04-09,403000.0
2010-04-10,403000.0
2010-04-11,403000.0
